Datum;Bundesland;Anzahl_Meldebereiche_Erwachsene;Aktuelle_COVID_Faelle_Erwachsene_ITS;Belegte_Intensivbetten_Erwachsene;Freie_Intensivbetten_Erwachsene;7_Tage_Notfallreserve_Erwachsene;Freie_IV_Kapazitaeten_Gesamt;Freie_IV_Kapazitaeten_Davon_COVID;Betriebssituation_Regulaerer_Betrieb;Betriebssituation_Teilweise_Eingeschraenkt;Betriebssituation_Eingeschraenkt;Betriebssituation_Keine_Angabe
2020-03-20T12:15:00+01:00;SCHLESWIG_HOLSTEIN;13;7;16;99;0;0;0;11;2;0;0
2020-03-20T12:15:00+01:00;HESSEN;19;7;18;185;0;0;0;16;3;0;0
2020-03-20T12:15:00+01:00;SAARLAND;4;1;7;19;0;0;0;3;1;0;0
2020-03-20T12:15:00+01:00;NORDRHEIN_WESTFALEN;55;35;86;456;0;0;0;49;5;1;0
2020-03-20T12:15:00+01:00;BRANDENBURG;20;2;50;142;0;0;0;15;4;1;0
2020-03-20T12:15:00+01:00;RHEINLAND_PFALZ;15;14;48;112;0;0;0;10;3;2;0
2020-03-20T12:15:00+01:00;SACHSEN_ANHALT;8;0;2;105;0;0;0;6;2;0;0
2020-03-20T12:15:00+01:00;BERLIN;22;9;114;157;0;0;0;18;2;1;1
2020-03-20T12:15:00+01:00;BADEN_WUERTTEMBERG;31;35;39;330;0;0;0;20;7;3;1
2020-03-20T12:15:00+01:00;NIEDERSACHSEN;25;17;43;236;0;0;0;20;3;2;0
2020-03-20T12:15:00+01:00;HAMBURG;11;6;24;115;0;0;0;9;0;2;0
2020-03-20T12:15:00+01:00;THUERINGEN;7;0;0;143;0;0;0;6;1;0;0
2020-03-20T12:15:00+01:00;MECKLENBURG_VORPOMMERN;10;1;8;85;0;0;0;8;1;1;0
2020-03-20T12:15:00+01:00;SACHSEN;20;3;44;272;0;0;0;16;2;2;0
2020-03-20T12:15:00+01:00;BAYERN;45;61;77;392;0;0;0;37;5;1;2
2020-03-20T12:15:00+01:00;BREMEN;3;2;0;18;0;0;0;1;1;1;0
