date;dosen_kumulativ;dosen_differenz_zum_vortag;dosen_erst_differenz_zum_vortag;dosen_zweit_differenz_zum_vortag;dosen_biontech_kumulativ;dosen_moderna_kumulativ;dosen_astrazeneca_kumulativ;personen_erst_kumulativ;personen_voll_kumulativ;impf_quote_erst;impf_quote_voll;indikation_alter_dosen;indikation_beruf_dosen;indikation_medizinisch_dosen;indikation_pflegeheim_dosen;indikation_alter_erst;indikation_beruf_erst;indikation_medizinisch_erst;indikation_pflegeheim_erst;indikation_alter_voll;indikation_beruf_voll;indikation_medizinisch_voll;indikation_pflegeheim_voll
27.12.2020;23567;23567;23567;0;23567;0;0;23567;0;0.00028;0.00000;8634;7774;1281;13036;8634;7774;1281;13036;0;0;0;0
28.12.2020;42313;18746;18746;0;42313;0;0;42313;0;0.00051;0.00000;16425;15166;1968;21874;16425;15166;1968;21874;0;0;0;0
29.12.2020;84970;42657;42657;0;84970;0;0;84970;0;0.00102;0.00000;28861;36727;3044;38604;28861;36727;3044;38604;0;0;0;0
30.12.2020;142967;57997;57997;0;142967;0;0;142967;0;0.00172;0.00000;46276;68150;4644;59532;46276;68150;4644;59532;0;0;0;0
31.12.2020;181587;38620;38620;0;181587;0;0;181587;0;0.00218;0.00000;59372;86805;6462;74892;59372;86805;6462;74892;0;0;0;0
01.01.2021;206341;24754;24754;0;206341;0;0;206341;0;0.00248;0.00000;67121;96770;7537;87492;67121;96770;7537;87492;0;0;0;0
02.01.2021;258316;51975;51975;0;258316;0;0;258316;0;0.00311;0.00000;86434;120473;10018;108510;86434;120473;10018;108510;0;0;0;0
03.01.2021;283310;24994;24994;0;283310;0;0;283310;0;0.00341;0.00000;96355;131327;10948;119090;96355;131327;10948;119090;0;0;0;0
04.01.2021;331916;48606;48606;0;331916;0;0;331916;0;0.00399;0.00000;111589;156341;13608;135001;111589;156341;13608;135001;0;0;0;0
05.01.2021;384307;52391;52391;0;384307;0;0;384307;0;0.00462;0.00000;127805;183810;16043;153185;127805;183809;16043;153185;0;1;0;0
06.01.2021;442981;58674;58674;0;442981;0;0;442981;0;0.00533;0.00000;145542;214563;19457;174265;145542;214562;19457;174265;0;1;0;0
07.01.2021;501349;58368;58368;0;501349;0;0;501349;0;0.00603;0.00000;163262;244908;22462;192107;163261;244907;22462;192107;1;1;0;0
08.01.2021;561732;60383;60383;0;561732;0;0;561732;0;0.00675;0.00000;182791;276455;25774;211870;182786;276454;25774;211870;5;1;0;0
09.01.2021;618931;57199;57199;0;618931;0;0;618931;0;0.00744;0.00000;205079;301156;28093;234795;205070;301155;28093;234795;9;1;0;0
10.01.2021;652220;33289;33289;0;652220;0;0;652220;0;0.00784;0.00000;218309;315222;29415;246599;218298;315221;29415;246599;11;1;0;0
11.01.2021;717811;65591;65591;0;717811;0;0;717811;0;0.00863;0.00000;241299;346524;32360;266867;241288;346523;32360;266867;11;1;0;0
12.01.2021;799847;82036;82036;0;799847;0;0;799847;0;0.00962;0.00000;266836;388863;35512;291062;266825;388862;35512;291062;11;1;0;0
13.01.2021;898859;99012;99012;0;898064;795;0;898859;0;0.01081;0.00000;299203;441094;38934;320562;299192;441093;38934;320562;11;1;0;0
14.01.2021;998978;100119;100005;114;993534;5444;0;998864;114;0.01201;0.00000;325452;492305;41285;353231;325386;492300;41285;353231;66;5;0;0
15.01.2021;1091660;92682;92253;429;1080765;10895;0;1091117;543;0.01312;0.00001;355195;539497;44903;381350;355016;539413;44894;381261;179;84;9;89
16.01.2021;1148772;57112;56715;397;1136019;12753;0;1147832;940;0.01380;0.00001;376170;564589;46942;401225;375800;564398;46872;400934;370;191;70;291
17.01.2021;1193324;44552;30942;13610;1179156;14168;0;1178774;14550;0.01417;0.00017;392920;584176;48665;419111;386230;579093;48000;410878;6690;5083;665;8233
18.01.2021;1267550;74226;57816;16410;1251448;16102;0;1236590;30960;0.01487;0.00037;420170;619968;50773;439795;407817;607813;49574;424028;12353;12155;1199;15767
19.01.2021;1362674;95124;67893;27231;1345049;17625;0;1304483;58191;0.01569;0.00070;452649;668873;54029;466908;430840;643694;52037;440513;21809;25179;1992;26395
